"id","title","year","search_query","description"
"1","Jurassic Park","1993","Jurassic Park 1993 T-Rex attacks jeep rain night","In this iconic scene from Jurassic Park, Dr. Alan Grant faces off against a massive Tyrannosaurus Rex in the pouring rain, armed with only a flare gun as a defensive weapon. The towering dinosaur looms menacingly over a damaged jeep while Grant stands his ground, illuminated by the red glow of his flare against the dark, stormy night. The tension-filled confrontation captures one of cinema's most memorable encounters between man and prehistoric beast."
"2","Jurassic Park","1993","Jurassic Park 1993 velociraptors kitchen children","A golden retriever stands in a snowy winter landscape, its fur glistening in the cold light. The dog appears alert and happy, surrounded by snow-covered ground and trees in the background, creating a peaceful holiday or winter scene. The warm tones of the dog's coat contrast beautifully with the white snow and cool tones of the winter environment."
"3","Jaws","1975","Jaws 1975 Quint eaten great white shark sinking Orca","A great white shark glides through the deep blue ocean waters, its powerful body moving with predatory grace. The massive fish is accompanied by smaller fish swimming nearby, creating a scene of marine life in their natural underwater habitat. The lighting suggests this is taken in the open ocean, with sunlight filtering through the water from above, illuminating the shark's distinctive silhouette against the blue depths."
"4","Jaws","1975","Jaws 1975 Brody clings mast sinking Orca scuba tank","A large industrial oil drilling platform or ship sits anchored in calm, shallow turquoise waters during what appears to be early morning or late afternoon, with the sun low on the horizon casting a golden glow across the sea. The vessel features prominent derricks and drilling equipment rising from its deck, indicating it is an active oil or gas extraction operation in a tropical or subtropical location. The still waters and clear sky create a serene atmosphere around this massive industrial structure, which dominates the frame with its imposing silhouette."
"5","The Silence of the Lambs","1991","Silence of the Lambs 1991 Clarice dark basement night vision killer","A woman is shown in a nighttime scene captured through a green-tinted night vision or thermal imaging perspective, suggesting this is footage from a surveillance camera or similar device. She appears to be inside a vehicle or enclosed space, looking upward with a concerned or fearful expression on her face. The grainy, monochromatic green quality of the image indicates this is a tense moment, possibly from a thriller or horror film scene."
"6","Aliens","1986","Aliens 1986 Ripley power loader fights Alien Queen cargo bay","In a dimly lit, industrial setting filled with smoke and atmospheric haze, two armored figures engage in an intense confrontation. One figure appears to be Force-choking or using the Force against the other, demonstrating a display of dark side power. The scene captures a dramatic moment of conflict between what appears to be a Sith Lord and another character, with the moody lighting and special effects emphasizing the tension and supernatural nature of their encounter."
"7","The Lion King","1994","Lion King 1994 Simba wildebeest stampede gorge Mufasa falls","Two characters stand on a wooden structure against a backdrop of towering red rock formations under a bright blue sky. One figure appears to be reaching toward or interacting with the other in what seems to be a dramatic moment. The warm earth tones of the desert landscape create a striking contrast with the clear azure sky above."
"8","Titanic","1997","Titanic 1997 Jack Rose stern sinking vertically ocean","In this dark underwater scene, a lone figure stands amid the wreckage of a massive spacecraft or structure, illuminated by an eerie blue glow. Debris and fragments float through the water around the character, creating a haunting atmosphere of destruction and desolation. The composition suggests a moment of discovery or confrontation within an alien or futuristic environment, with the solitary figure dwarfed by the scale of the devastation surrounding them."
"9","Titanic","1997","Titanic 1997 Rose floats debris freezing ocean Jack submerges","# Titanic wreckage and artifacts description The image shows a comparison between the Titanic's deteriorated ceiling structure from the wreck and the ornate decorative rosette that once adorned the ship's interior. The photograph highlights how the ship's luxurious architectural details have been preserved on the ocean floor despite the vessel's catastrophic sinking. This visual documentation reveals the stark contrast between the ship's former grandeur and its current state as a submerged ruin, demonstrating how even elaborate decorative elements endured the wreckage of one of history's most famous maritime disasters."
"10","The Matrix","1999","Matrix 1999 Neo dodges bullets rooftop bullet time slow motion","A person in a black suit performs an impressive mid-air martial arts move, leaning backward horizontally while suspended in the air with arms outstretched. The scene takes place in a futuristic white corridor with geometric patterns and digital elements visible in the background. This appears to be the iconic ""bullet dodge"" scene from The Matrix, showcasing Neo's superhuman abilities as he evades incoming attacks."
"11","Raiders of the Lost Ark","1981","Raiders of the Lost Ark 1981 Indy runs giant boulder cave","A man in period clothing and a hat walks through a narrow, rocky cave passage with hanging roots and vegetation draping from the ceiling. He is framed by the dramatic opening of the cave, which reveals a large, luminous full moon glowing brightly in the distance. The scene creates a striking contrast between the dark, earthy cave interior and the ethereal light of the moon beyond."
"12","Raiders of the Lost Ark","1981","Raiders of the Lost Ark 1981 Indy pit of snakes Well of Souls","A man in a leather jacket and fedora hat crawls through a narrow underground passage, his expression showing intense concentration and urgency. The scene appears to be from an action-adventure film, with the character navigating through what looks like a claustrophobic temple or ancient structure. The lighting is warm and atmospheric, emphasizing the danger and suspense of the moment as the character makes his way through the tight space."
"13","Indiana Jones and the Temple of Doom","1984","Temple of Doom 1984 Indy hangs lava pit rope bridge","A man in a hat and tan clothing walks across a narrow rope bridge suspended over a deep gorge, holding a wooden pole for balance. Behind him, a group of people dressed in red clothing are also crossing the bridge in single file. The surrounding landscape is dense with sparse, gnarled vegetation clinging to the rocky cliffs below, creating a dramatic and precarious scene."
"14","Indiana Jones and the Last Crusade","1989","Last Crusade 1989 Indy walks off cliff invisible bridge","A narrow wooden bridge spans across a deep chasm within towering cave walls, with several figures carefully traversing the precarious walkway suspended high above the cavern floor. The ancient wooden structure appears weathered and fragile as the travelers make their way across, surrounded by massive stone formations and shadows that emphasize the danger and isolation of their perilous journey. This appears to be a scene from an adventure film where characters must navigate through treacherous underground terrain to reach their destination."
"15","The Shining","1980","The Shining 1980 Wendy cornered Jack axe bathroom door","A middle-aged man with reddish-brown hair and facial hair is shown in a close-up portrait against a warm, yellowish-brown background. He appears to be looking directly at the camera with a serious or contemplative expression. The lighting casts gentle shadows across his face, highlighting his features in what seems to be an indoor setting."
"16","Psycho","1960","Psycho 1960 Marion stabbed shower Bates Motel","A woman stands under a shower with water streaming over her face and body, her expression showing distress or concern. She appears to be in a bathroom with white tiled walls surrounding her. The black and white cinematography and composition suggest this is a classic film scene capturing an intimate moment of vulnerability."
"17","The Birds","1963","The Birds 1963 Tippi Hedren attacked birds attic bedroom","A woman with voluminous, styled hair and wearing a tweed jacket looks upward with an animated, delighted expression as several pigeons perch around her indoors. She has one hand raised to her head in a gesture of surprise or joy while birds land on a decorative mantelpiece behind her and flutter around the room. The black and white photograph captures a playful, comedic moment of the woman interacting with the birds in what appears to be an elegant interior setting."
"18","Alien","1979","Alien 1979 Kane facehugger bursts egg attaches helmet","An astronaut in a pressurized space suit with a illuminated helmet visor peers out into the darkness of space, their face visible through the transparent dome. The astronaut is positioned near a large, cratered celestial body, likely an asteroid or moon, which is harshly lit by their helmet lights against the black void. This appears to be a scene from a science fiction film depicting an intense moment of space exploration or survival in the vacuum of space."
"19","Alien","1979","Alien 1979 chestburster erupts Kane chest dinner table","A newborn infant lies on a white cloth, crying with mouth wide open in what appears to be a medical or hospital setting. The baby's skin has a reddish tone typical of a newly born child, and the scene captures the raw emotion of birth. Various medical supplies and containers are visible in the blurred background, suggesting this is taking place in a delivery or maternity ward."
"20","Terminator 2 Judgment Day","1991","Terminator 2 1991 Sarah Connor chased T-1000 hospital corridor","In this scene, a man in a black leather jacket protectively stands with two young children in a stark, industrial corridor with metallic walls and windows. The man has a serious, determined expression while looking ahead, suggesting he is safeguarding the children from some unseen threat. The cool blue lighting and austere setting convey a sense of danger and urgency, as the group appears to be on the run or seeking shelter in this futuristic facility."
"21","Terminator 2 Judgment Day","1991","Terminator 2 1991 John Connor chased T-1000 truck concrete canal","A motorcycle rider in dark clothing and an American flag cape performs a dramatic stunt by jumping over a massive truck that crashes through a concrete barrier in an explosion of dust and debris. The intense action sequence captures the motorcycle airborne while the vehicle behind it is engulfed in a cloud of smoke and destruction. This appears to be a climactic stunt scene from an action film, showcasing high-octane choreography and practical effects."
"22","The Dark Knight","2008","The Dark Knight 2008 Batman falls skyscraper grappling building","Batman stands silhouetted against a dark, stormy Gotham City skyline, his iconic cape billowing dramatically in the wind. The Dark Knight assumes a powerful, commanding stance on a rooftop as rain falls and lightning illuminates the night sky behind him. This is a quintessential portrayal of Batman as a vigilant protector watching over his city, ready to defend it from the criminal underworld that threatens its citizens."
"23","Die Hard","1988","Die Hard 1988 McClane hangs Nakatomi Plaza roof firehose barefoot","A person performs an acrobatic leap with arms raised triumphantly while wearing dark pants and a light-colored top, captured mid-jump against a dark background. The scene appears to be from an action film, with a chain-link fence visible in the background, suggesting an intense physical confrontation or escape sequence. The dynamic composition and dramatic lighting emphasize the athleticism and energy of the moment."
"24","Die Hard","1988","Die Hard 1988 McClane crawls ventilation shaft terrorists below","A man with a bloodied face crawls through a narrow, grimy ventilation shaft or confined space, displaying an intense and determined expression. He's shirtless and appears to be in distress or exertion, gripping what looks like a small object or device in his hand. The harsh lighting and gritty environment suggest this is from an action or thriller sequence depicting a character in a dangerous or desperate situation."
"25","Mission Impossible","1996","Mission Impossible 1996 Ethan Hunt hangs wire pressure sensitive floor","A man in a dark suit and hat is floating horizontally in mid-air above a reflective white floor, appearing weightless and defying gravity. The setting appears to be a modern, minimalist interior with white walls and clean lines, creating a surreal and dreamlike atmosphere. This is the iconic zero-gravity corridor scene from the film ""Inception,"" where the character Dom Cobb navigates through a dream world constructed by the dream-sharing technology."
"26","Mission Impossible Fallout","2018","Mission Impossible Fallout 2018 Ethan Hunt hangs helicopter cliff edge","I can see a simple blue shield icon with a white checkmark in the center, commonly used to represent security, protection, verification, or trust in digital interfaces. This symbol is typically associated with antivirus software, secure connections, or verified status in web and application design."
"27","Mad Max Fury Road","2015","Mad Max Fury Road 2015 Furiosa Max fight top War Rig full speed","A heavily modified tanker truck rumbles across a barren, dusty desert landscape under a dramatic teal-colored sky, its massive cylindrical cargo tank mounted on an armored, weaponized chassis. The vehicle appears to be from a post-apocalyptic setting, featuring rusted metal plating, mechanical modifications, and an imposing presence that suggests it's built for survival in a harsh wasteland. This is the iconic War Rig from Mad Max: Fury Road, serving as the central vehicle that drives the film's explosive action sequences and represents the clash between competing factions vying for control of precious resources in a desolate world."
"28","Speed","1994","Speed 1994 Keanu Reeves boards moving bus cannot slow 50mph","A tense action thriller unfolds as a bomb has been planted on a city bus that cannot slow down below 50 miles per hour or it will detonate. Jack Traven, a heroic LAPD SWAT officer, must work against the clock to prevent catastrophe while dealing with the cunning bomber and managing the terrified passengers trapped on the vehicle. The intense standoff between law enforcement and the criminal forces a desperate race through the streets as tension mounts with each passing moment."
"29","Speed","1994","Speed 1994 bus jumps gap unfinished freeway overpass","This appears to be a cityscape view taken from an elevated position, showing an expansive urban landscape with numerous buildings, industrial structures, and infrastructure spread across the horizon. The photograph captures a sprawling metropolitan area with various residential and commercial buildings interspersed throughout, suggesting a densely populated industrial or commercial district. The hazy or overcast atmospheric conditions give the scene a somewhat muted appearance, emphasizing the scale and density of the urban development visible in the distance."
"30","Point Break","1991","Point Break 1991 Keanu Reeves skydives no parachute grabbing Bodhi mid-air","Two skydivers in mid-air perform a handshake or celebratory gesture while freefalling, both wearing protective goggles and gear against a clear blue sky. Their hair is windswept from the force of the fall, capturing the excitement and adrenaline of skydiving. The photo appears to be taken from an external camera during their aerial maneuver, showcasing the thrill and camaraderie of extreme sports."
"31","The Fugitive","1993","The Fugitive 1993 Harrison Ford jumps dam waterfall escape","A man in a blue-gray shirt and dark pants stands in a narrow brick tunnel or passageway that opens onto a scenic waterway with turquoise-blue water. He appears to be fishing, holding a fishing rod extended toward the water below. The setting suggests a canal lock or water control structure, with the man positioned at the threshold between the confined passage and the open water beyond."
"32","Cliffhanger","1993","Cliffhanger 1993 Sylvester Stallone dangling cliff face blizzard","A shirtless rock climber scales a steep cliff face with determination, gripping the rough stone surface with both hands and feet while secured with climbing gear. The climber's muscular physique and focused posture demonstrate the physical intensity and concentration required for this challenging sport. The natural rock formation towers above, creating a dramatic backdrop for this display of athleticism and climbing skill."
"33","Vertical Limit","2000","Vertical Limit 2000 climbers hanging rope cut K2 abyss","A climber in a red headband and black harness scales a steep, icy blue-white wall with ice climbing tools, demonstrating technical skill and determination. The climber is positioned mid-ascent against the vertical frozen surface, with their body leaning back and one arm raised high, gripping an ice axe. The dramatic composition captures the intense physical effort and focus required for ice climbing in what appears to be a challenging alpine environment."
"34","127 Hours","2010","127 Hours 2010 James Franco arm trapped boulder Utah canyon","# 127 Hours A man trapped between two massive canyon walls desperately reaches upward toward the light above, his silhouette emphasizing his isolation and struggle for survival. The dramatic composition captures a climber caught in an impossible situation, fighting against the unforgiving natural landscape. This is based on the true story of Aron Ralston, who becomes trapped by a boulder while canyoneering and must use his ingenuity and willpower to escape and survive."
"35","Gravity","2013","Gravity 2013 Sandra Bullock spinning untethered space debris field","Two spacecraft are docked together in orbit above Earth, with one vessel extending a robotic arm or module toward the other against the backdrop of the planet's cloudy atmosphere and the vast darkness of space. The scene captures a critical moment of space exploration, showing the precise coordination and advanced technology required for orbital rendezvous and spacecraft assembly. Sunlight illuminates the detailed mechanical structures and equipment, highlighting the intricate engineering involved in human spaceflight operations."
"36","Gravity","2013","Gravity 2013 George Clooney drifting away deep space","An astronaut in a white spacesuit floats in the vacuum of space, their face visible through the helmet's visor against the darkness of the cosmos. The suit is equipped with various tools and equipment attached to the arms and body, essential for performing extravehicular activities. The Earth's blue atmosphere is subtly visible in the background, emphasizing the vast emptiness of space surrounding the figure."
"37","Apollo 13","1995","Apollo 13 1995 astronauts floating freezing powerless capsule deep space","Astronauts in white spacesuits are working together in the confined microgravity environment of a spacecraft or space station, maneuvering around equipment and structural elements. Multiple crew members are positioned at different angles throughout the compartment, demonstrating the three-dimensional nature of movement in zero gravity. The scene captures the collaborative effort and complex coordination required to perform maintenance or operational tasks during a space mission."
"38","Interstellar","2014","Interstellar 2014 McConaughey Ranger craft spinning out of control black hole","A massive black hole with an intensely bright accretion disk dominates the scene, its swirling orange and golden light creating dramatic jets of energy that stream outward into the darkness of space. The tremendous gravitational forces warp and bend the light itself, creating a mesmerizing display of curved luminous streams that twist around the event horizon. This cosmic phenomenon showcases the awesome power of gravity, as material falls toward the black hole at near light-speed, heating to millions of degrees and releasing tremendous energy across the universe."
"39","The Martian","2015","The Martian 2015 Matt Damon alone Mars crew ship departs without him","An astronaut in a worn orange spacesuit and helmet sits on the rusty, dusty surface of Mars, surrounded by the planet's barren, sandy landscape and towering rock formations in the background. The character appears stranded or isolated on the alien world, with the harsh Martian terrain stretching out behind them under a hazy, dust-laden sky. This depicts a survival scenario on the red planet, capturing the solitude and harsh conditions of extraterrestrial exploration."
"40","Life","2017","Life 2017 astronaut trapped space suit alien creature inside ISS","A figure in a spacesuit presses their gloved hand against the interior window of a spacecraft, their face obscured by the helmet's visor. The tagline ""We were better off alone"" appears at the top, suggesting an ominous tone about isolation in space. The poster indicates this is the film ""Life"" featuring actors Jake Gyllenhaal, Rebecca Ferguson, and Ryan Reynolds, releasing in March."
"41","Saving Private Ryan","1998","Saving Private Ryan 1998 soldiers wade ashore machine gun fire Omaha Beach","A soldier observes a chaotic beach landing scene with explosions and fire erupting in the background as troops advance through the water. Multiple soldiers can be seen wading through the shallow waters while artillery fire and smoke fill the air around them. This appears to be a depiction of a major World War II amphibious assault, with the intense combat and destruction characteristic of a large-scale military operation."
"42","Saving Private Ryan","1998","Saving Private Ryan 1998 Captain Miller shot dying tank approaches","A wounded soldier in military fatigues with blood on his uniform is being attended to by fellow servicemen in what appears to be a combat zone. The injured soldier is engaged in conversation with another soldier while additional troops stand nearby in the background, with destroyed buildings visible behind them. This appears to be a scene depicting World War II soldiers during active combat operations in a European theater."
"43","Apocalypse Now","1979","Apocalypse Now 1979 helicopter attack Vietnamese village Wagner music","A military helicopter flies over a war-torn landscape filled with explosions, fire, and destruction, while musical notation overlays the entire scene. The composition captures the intense contrast between the chaos of combat-with helicopters, flames, and smoke billowing across the terrain-and the delicate, orderly beauty of classical sheet music floating above. This surreal juxtaposition creates a haunting visualization of how music and warfare intersect, transforming violence into an almost orchestrated performance."
"44","Platoon","1986","Platoon 1986 Sergeant Elias shot falling knees arms raised jungle","A person covered in mud celebrates with both arms raised triumphantly in the air, their face and body caked with muddy residue. The individual appears to be participating in a challenging obstacle course or mud-based athletic competition, displaying a moment of accomplishment and joy. The background shows a hazy, misty atmosphere with green tones, suggesting an outdoor event environment."
"45","Full Metal Jacket","1987","Full Metal Jacket 1987 Joker shot at hidden female sniper ruined building","A group of soldiers in World War II-era uniforms stands along the banks of a trench or canal filled with water, observing and surveying the terrain. Military personnel in combat gear are positioned around the excavated waterway while what appears to be officers or commanders examine the area, likely during a training exercise or military inspection. The scene captures a moment of military coordination and strategic planning in a muddy, water-logged battlefield setting with sparse vegetation visible in the background."
"46","Black Hawk Down","2001","Black Hawk Down 2001 soldiers trapped crashed helicopter surrounded militia","A group of soldiers in military uniforms and helmets gather around a damaged military vehicle in a muddy, war-torn environment. They appear to be examining or inspecting the wreckage, with some crouching down to get a closer look at the debris. The scene depicts the harsh realities of combat, with destruction and devastation visible in the surrounding area."
"47","Hacksaw Ridge","2016","Hacksaw Ridge 2016 Desmond Doss lowering wounded soldiers cliff under fire","# Description During the Battle of Okinawa in May 1945, a U.S. Army medic named Desmond Doss risked his life to save wounded soldiers on a steep cliff face by lowering them down with a rope while under intense enemy fire. Despite being a conscientious objector who refused to carry a weapon, Doss demonstrated extraordinary courage and compassion by repeatedly exposing himself to danger to rescue his fellow soldiers. His selfless actions earned him the Medal of Honor and made him a celebrated figure in military history for his commitment to saving lives rather than taking them."
"48","Dunkirk","2017","Dunkirk 2017 soldiers trapped sinking beached boat tide rises","A group of silhouetted figures stand together against a light sky background, appearing to be positioned on elevated terrain. The dark outlines of the individuals create a striking contrast against the pale backdrop, suggesting they may be surveying a landscape or gathered for a significant moment. The composition conveys a sense of unity or collective purpose among the assembled group."
"49","Dunkirk","2017","Dunkirk 2017 Spitfire pilot gliding no fuel over Channel beach","A figure in dark clothing stands on a beach, silhouetted against the dramatic orange and yellow flames of a burning aircraft wreckage in the water. The scene captures a moment of devastation and destruction, with thick smoke rising from the burning plane as waves lap against the shore. The composition suggests a cinematic moment of high stakes and peril, with the lone observer witnessing the catastrophic scene unfold before them."
"50","1917","2019","1917 2019 Schofield falls pit corpses sinking mud no man's land","A seal or sea lion rests on the rocky shoreline near the water's edge, surrounded by moss-covered stones and boulders. The marine mammal appears to be lounging peacefully on the rocks, with calm water visible in the background. The scene captures a natural coastal habitat where the creature blends in with its rocky environment."
